32,2546014464,3884,-15828,704,-128,38,85,18432,-9473,23552,-32711,-22481,17066,1024,1024,1024,
32,2965444864,3852,-15796,816,-149,33,55,18944,-7937,24064,30672,-13746,28420,1024,1024,1024,
32,3368098048,3816,-15900,552,-132,62,77,17920,-7937,24576,16872,-22819,-25030,1024,1024,1024,
32,3787528448,3996,-15716,696,-130,25,66,18688,-8193,23296,4676,29185,27436,1024,1024,1024,
32,4190181632,3872,-15812,572,-133,23,78,18176,-8705,23296,-9157,20270,-29997,1024,1024,1024,
32,297933056,3856,-15860,736,-151,12,74,19456,-8961,23552,-17083,-28071,5879,1024,1024,1024,
32,700586240,3916,-15756,824,-152,51,91,18176,-8193,23296,27314,-28742,227,1024,1024,1024,
32,1120016640,3852,-15720,856,-150,41,73,18176,-10241,23296,24471,-2689,-25593,1024,1024,1024,
32,1539447040,3832,-15896,848,-130,48,88,18176,-8193,24832,12671,-14733,-9638,1024,1024,1024,
32,1942100224,3860,-15748,816,-147,37,88,18944,-6913,23040,-6257,470,-14187,1024,1024,1024,
32,2361530624,3744,-15804,844,-123,45,77,17920,-8961,23040,20130,-18280,6447,1024,1024,1024,
32,2747406592,3928,-15832,740,-118,23,76,18688,-8193,24320,4458,-31300,6476,1024,1024,1024,
32,3166836992,3868,-15784,744,-142,42,98,19712,-7681,23808,3617,17399,23130,1024,1024,1024,
32,3569490176,4008,-15732,756,-127,26,37,17664,-8705,23808,6712,4698,1291,1024,1024,1024,
32,3988920576,3908,-15796,872,-119,45,84,17152,-8193,23808,-17406,17919,-19637,1024,1024,1024,
32,113449216,3856,-15728,684,-106,39,94,17920,-8961,24576,-23711,19374,18857,1024,1024,1024,
32,499325184,3940,-15832,652,-131,24,102,19456,-7425,24064,13091,-64,20665,1024,1024,1024,
32,918755584,3668,-15892,856,-159,26,76,17664,-8193,24320,-7067,17175,-9791,1024,1024,1024,
32,1321408768,3880,-15812,784,-160,36,82,18432,-7425,23552,15302,-2834,23376,1024,1024,1024,
32,1740839168,3972,-15812,712,-121,70,79,18432,-8961,25088,-20556,-2068,-10611,1024,1024,1024,
32,2160269568,3916,-15712,680,-133,35,48,18432,-7425,24576,28479,23751,-10975,1024,1024,1024,
32,2546145536,3916,-15804,748,-149,53,53,16640,-8705,23808,-28301,-20765,18011,1024,1024,1024,
32,2965575936,3876,-15764,748,-163,30,89,17408,-7425,25600,-17801,27295,10621,1024,1024,1024,
32,3368229120,3924,-15880,664,-128,41,54,18688,-8705,24320,3857,-6024,-18056,1024,1024,1024,
32,3787659520,3816,-15748,736,-128,31,66,17408,-9473,23552,8012,-4656,4140,1024,1024,1024,
32,4190312704,3928,-15824,704,-140,26,83,17152,-9217,23808,-2164,18264,-23189,1024,1024,1024,
32,298064128,3816,-15676,828,-145,24,84,17664,-7169,23808,-20840,-30031,-4679,1024,1024,1024,
32,700717312,3952,-15804,772,-175,33,76,18688,-8705,23808,-16400,17283,1518,1024,1024,1024,
32,1120147712,3880,-15688,776,-130,28,88,18176,-8705,24320,-29000,29126,17539,1024,1024,1024,
32,1539578112,3884,-15864,796,-118,14,68,17920,-7425,22528,13841,24739,15277,1024,1024,1024,
32,1942231296,3928,-15680,880,-169,35,119,17664,-8193,24320,7039,-6155,14612,1024,1024,1024,
